"","Identifier","Physiological.experiment.id","Date.id","Genus","Species","Collection.method","Control","Start.date","End.date","Nulliparous","X1P","X2P","X3P","X4P","X5P","X6P","X7P","X8P","X9P","X10P","X11P","X12P","X.threshold","Total","Total.in.paper.if.different","Threshold","Table.number","Figure.number","Digitise","Note","ID....concat","SpeciesName","SpeciesID"
"1",9,5,1,"Anopheles","gambiae","Light trap",1,NA,NA,14,8,2,3,0,0,0,0,0,0,0,0,0,2,29,29,4,"","4",1,"MI location","9 5","Anopheles gambiae",1
"2",9,3,1,"Anopheles","gambiae","Light trap",1,NA,NA,7,11,6,3,0,0,0,0,0,0,0,0,0,6,33,33,4,"","4",1,"Km location","9 3","Anopheles gambiae",1
"3",4,1,1,"Anopheles","gambiae","Indoor resting",1,"09/01/1992","31/10/1992",24,12,6,3,1,0,0,0,0,0,0,0,0,0,46,46,-1,"0","2",1,"Funestus from MRR!","4 1","Anopheles gambiae",1
"4",9,6,1,"Anopheles","gambiae","Human landing",1,NA,NA,30,12,9,7,0,0,0,0,0,0,0,0,0,3,61,62,4,"","4",1,"MI location","9 6","Anopheles gambiae",1
"5",4,2,1,"Anopheles","gambiae","Indoor resting",1,"09/01/1992","31/10/1992",33,25,15,5,1,0,0,0,0,0,0,0,0,0,79,80,-1,"","2",1,"","4 2","Anopheles gambiae",1
"6",8,2,1,"Anopheles","gambiae","Various",0,NA,NA,71,16,4,2,2,1,0,0,0,0,0,0,0,0,96,NA,-1,"","4",1,"Mindu after DDT","8 2","Anopheles gambiae",1
"7",9,1,1,"Anopheles","gambiae","Light trap",1,NA,NA,41,38,13,5,0,0,0,0,0,0,0,0,0,3,100,101,4,"","4",1,"Mn location","9 1","Anopheles gambiae",1
"8",9,4,1,"Anopheles","gambiae","Human landing",1,NA,NA,26,34,21,11,0,0,0,0,0,0,0,0,0,10,102,102,4,"","4",1,"Km location","9 4","Anopheles gambiae",1
"9",9,2,1,"Anopheles","gambiae","Human landing",1,NA,NA,53,48,20,7,0,0,0,0,0,0,0,0,0,4,132,133,4,"","4",1,"Mn location","9 2","Anopheles gambiae",1
"10",7,4,1,"Anopheles","gambiae","Pit trap",1,NA,NA,92,31,14,3,0,0,0,2,0,0,0,0,0,0,142,NA,8,"1","",0,"","7 4","Anopheles gambiae",1
"11",8,4,1,"Anopheles","gambiae","Various",0,NA,NA,91,49,12,3,1,0,0,0,0,0,0,0,0,0,156,NA,-1,"","4",1,"Mlingano after nets","8 4","Anopheles gambiae",1
"12",56,1,1,"Anopheles","gambiae","CDC light trap",1,"15/11/2008","22/11/2008",51,47,29,16,14,9,8,7,0,0,0,0,0,19,200,200,8,"1","",0,"Control pre-treatment with insecticide","56 1","Anopheles gambiae",1
"13",56,2,1,"Anopheles","gambiae","CDC light trap",0,"22/11/2008","22/12/2008",25,28,32,20,21,13,18,14,0,0,0,0,0,29,200,200,8,"1","",0,"Control post-treatment with insecticide","56 2","Anopheles gambiae",1
"14",56,3,1,"Anopheles","gambiae","CDC light trap",1,"15/11/2008","22/11/2008",46,33,25,22,17,11,12,11,0,0,0,0,0,23,200,200,8,"1","",0,"Experiment pre-treatment with insecticide","56 3","Anopheles gambiae",1
"15",56,4,1,"Anopheles","gambiae","CDC light trap",0,"22/11/2008","22/12/2008",104,49,19,16,6,3,1,0,0,0,0,0,0,2,200,200,8,"1","",0,"Experiment post-treatment with insecticide","56 4","Anopheles gambiae",1
"16",64,1,1,"Anopheles","gambiae","PSC",1,"01/01/2010","31/12/2010",71,33,24,20,0,0,0,0,0,0,0,0,0,52,200,200,4,"2","",0,"Control pre-treatment with insecticide","64 1","Anopheles gambiae",1
"17",64,3,1,"Anopheles","gambiae","PSC",1,"01/01/2010","31/12/2010",44,35,32,23,0,0,0,0,0,0,0,0,0,66,200,200,4,"2","",0,"Experiment pre-treatment with insecticide","64 3","Anopheles gambiae",1
"18",8,3,1,"Anopheles","gambiae","Various",1,NA,NA,115,56,29,18,5,5,2,0,0,0,0,0,0,0,230,NA,-1,"","4",1,"Mlingano before nets","8 3","Anopheles gambiae",1
"19",32,1,1,"Anopheles","gambiae","Indoor resting",1,"01/03/1963","30/09/1963",58,91,48,26,8,1,0,0,0,0,0,0,0,0,232,NA,-1,"6","",0,"Combined all times","32 1","Anopheles gambiae",1
"20",64,2,1,"Anopheles","gambiae","PSC",0,"01/01/2010","31/12/2010",68,45,40,37,0,0,0,0,0,0,0,0,0,87,277,277,4,"2","",0,"Control post-treatment with insecticide","64 2","Anopheles gambiae",1
"21",64,4,1,"Anopheles","gambiae","PSC",0,"01/01/2010","31/12/2010",120,70,46,17,0,0,0,0,0,0,0,0,0,24,277,277,4,"2","",0,"Experiment post-treatment with insecticide","64 4","Anopheles gambiae",1
"22",17,1,1,"Anopheles","gambiae","Human landing, indoor resting",1,"01/04/1993","31/05/1993",152,120,42,20,4,0,0,0,0,0,0,0,0,0,338,NA,-1,"1","",0,"","17 1","Anopheles gambiae",1
"23",8,1,1,"Anopheles","gambiae","Various",1,NA,NA,127,115,65,44,18,15,7,2,1,0,0,0,0,0,394,NA,-1,"","4",1,"Mindu before DDT","8 1","Anopheles gambiae",1
"24",7,1,1,"Anopheles","gambiae","Human landing",1,NA,NA,150,130,73,35,16,4,3,0,0,0,0,0,0,0,411,NA,8,"1","",0,"","7 1","Anopheles gambiae",1
"25",8,6,1,"Anopheles","gambiae","Various",0,NA,NA,464,287,121,38,8,3,1,1,2,0,0,0,0,0,925,NA,-1,"","4",1,"Mngaza after nets","8 6","Anopheles gambiae",1
"26",8,5,1,"Anopheles","gambiae","Various",1,NA,NA,464,365,187,100,59,32,15,7,3,0,0,0,0,0,1232,NA,-1,"","4",1,"Mngaza before nets","8 5","Anopheles gambiae",1
"27",7,2,1,"Anopheles","gambiae","Indoor resting",1,NA,NA,715,612,340,221,128,65,28,18,0,0,0,0,0,19,2146,NA,8,"1","",0,"","7 2","Anopheles gambiae",1
"28",7,3,1,"Anopheles","gambiae","Light trap",1,NA,NA,823,657,345,197,94,57,37,13,0,0,0,0,0,7,2230,NA,8,"1","",0,"","7 3","Anopheles gambiae",1
"29",67,3,1,"Anopheles","gambiae","PSC",1,"01/12/1962","31/01/1964",1476,766,494,234,127,46,16,3,1,0,0,0,0,0,3163,171,-1,"4","",0,"","67 3","Anopheles gambiae",1
